"Bài giảng","Text đáp án","Lựa chọn A","Lựa chọn B","Lựa chọn C","Lựa chọn D","Đáp án đúng","Điểm"
"Lec1 - Introduction to Data Science","Khoa học dữ liệu (Data Science) được mô tả là một lĩnh vực liên ngành kết hợp ba trụ cột chính nào?","Toán &amp; Thống kê, Khoa học máy tính, Kiến thức chuyên ngành","Toán &amp; Thống kê, Kinh tế lượng, Kế toán","Lập trình, Thiết kế đồ họa, Marketing","Cơ sở dữ liệu, Mạng máy tính, Bảo mật","A","1"
"Lec1 - Introduction to Data Science","Trong chu trình khai thác dữ liệu, bước đầu tiên là gì?","Thu thập dữ liệu","Xây dựng mô hình","Xác định bài toán","Triển khai và giám sát","C","1"
"Lec1 - Introduction to Data Science","Khoa học dữ liệu gồm ba lĩnh vực chuyên sâu nào?","Khai phá web, Trực quan hóa, Báo cáo","Kỹ thuật dữ liệu, Phân tích dữ liệu, Học máy","SQL, Excel, Power BI","Toán học, Vật lý, Sinh học","B","1"
"Lec1 - Introduction to Data Science","Dữ liệu được tổ chức theo hàng – cột trong bảng, dễ truy vấn bằng SQL hoặc Excel, được gọi là loại dữ liệu nào?","Dữ liệu phi cấu trúc (Unstructured)","Dữ liệu bán cấu trúc (Semi-structured)","Dữ liệu thời gian thực (Streaming)","Dữ liệu có cấu trúc (Structured)","D","1"
"Lec1 - Introduction to Data Science","Ngôn ngữ lập trình nào phổ biến trong Khoa học dữ liệu, dễ học và có nhiều thư viện mạnh như NumPy, Pandas, Scikit-learn?","Python","HTML","PowerPoint","Photoshop","A","1"
"Lec1 - Introduction to Data Science","Phân tích mô tả (Descriptive Analytics) trả lời cho câu hỏi nào?","""Điều gì sẽ xảy ra?""","""Chúng ta nên làm gì?""","""Điều gì đã xảy ra?""","""Tại sao điều đó xảy ra?""","C","1"
"Lec1 - Introduction to Data Science","Bài giảng cho ví dụ về phân loại thư rác (spam) và dự đoán giá nhà. Hai ví dụ này thuộc loại bài toán Học máy nào?","Học không giám sát (Unsupervised Learning) — vì hoàn toàn không có dữ liệu","Học có giám sát (Supervised Learning) — vì đã có dữ liệu kèm câu trả lời đúng để học","Học tăng cường (Reinforcement Learning) — vì máy chơi game","Không phải Học máy","B","1"
"Lec1 - Introduction to Data Science","Trong bài giảng có ví dụ dự đoán giá nhà ở Hà Nội (đầu ra là một con số: triệu đồng/m²). Khi đầu ra cần dự đoán là một con số, ta gọi đây là bài toán gì?","Phân loại (Classification)","Trực quan hóa","Lưu trữ dữ liệu","Hồi quy (Regression)","D","1"
"Lec1 - Introduction to Data Science","Vì sao bài giảng khuyên chia dữ liệu thành tập huấn luyện và tập kiểm tra?","Để mô hình chạy nhanh hơn","Để kiểm tra mô hình hoạt động tốt thế nào với dữ liệu mới mà nó chưa từng thấy","Vì máy tính không đủ bộ nhớ chứa hết dữ liệu","Để giảm chi phí lưu trữ trên cloud","B","1"
"Lec1 - Introduction to Data Science","Vai trò chính của Kỹ sư dữ liệu (Data Engineer) trong tổ chức là gì?","Thiết kế, xây dựng và vận hành hạ tầng lưu trữ và xử lý dữ liệu","Vẽ biểu đồ và viết báo cáo cho lãnh đạo","Huấn luyện mô hình học sâu cho thị giác máy tính","Quản lý đội ngũ marketing và bán hàng","A","1"
